Old Team Name,Canonical Team Name
killer cam,Killer Cam
Breezes' Transformers,MEGATRON
MegatroN,MEGATRON
TeamBreezy,MEGATRON
Mebs Militia owns the Hood,Mebs Militia
Palm Beach Pelicans,Pels
Captain Phillips,Scrubs
Handycuffs,Scrubs
PMQ Scrubs,Scrubs
Part-Time Battlers,Scrubs
Hood,The Brotherhood
Smitten on Witten,The Brotherhood
The Arian Brother Hood,The Brotherhood
Boston Tea Party,The Generous
Generous Brady,The Generous
Rats,The Ratpack
Ball So Hard Wolfpak,Wolfpack
Covid Caged Wolfpack,Wolfpack
Impeached Wolfpack,Wolfpack
Make Wolfpack Great Again,Wolfpack
Neutered Wolfpack,Wolfpack
Unidentifiable Wolfpack,Wolfpack
Wolfpack is Problematic,Wolfpack
Wolfpak,Wolfpack
Cowboys Ware94,Woody
